CZAS	TEMP_SONDA	TEMP_POMIESZCZENIE	TEMP_ESP32	REG_VL	REG_Alarm_1	REG_Alarm_2	REG_Alarm_3	REG_HMI_D1_ERROR	REG_HMI_D2_ERROR	pusty	REG_HMI_D3_ERROR	REG_MaxDS_1	REG_MinDS_1	REG_MaxDS_2	REG_MinDS_2	REG_MaxDS_3	REG_MinDS_3	REG_IleCzujnikow	REG_Alarm_VL	REG_IleDetali	REG_VLMaxPomiar	REG_VLMinPomiar	REG_MaxAnalowgowyOdczyt	REG_MaxOdczytFiltr	REG_PrzekroczenieWartosc	REG_MaxAlarm
21:20:45	2752	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:47	2751	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:48	2750	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:49	2748	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:50	2748	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:51	2747	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:52	2746	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:53	2745	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:54	2744	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:55	2743	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:56	2742	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:57	2740	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:58	2739	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:20:59	2738	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:00	2737	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:01	2736	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:02	2735	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:03	2734	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:04	2733	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:05	2731	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:06	2735	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:07	2736	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:08	2736	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:09	2739	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:10	2742	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:13	2742	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:14	2737	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:15	2729	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:16	2725	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:17	2720	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:18	2717	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:19	2715	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:20	2712	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:21	2706	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:22	2699	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:23	2691	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:25	2686	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:26	2678	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:27	2674	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:28	2670	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:29	2666	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:30	2664	9833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21:21:31	2661	9832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
