CZAS	TEMP_SONDA	TEMP_POMIESZCZENIE	TEMP_ESP32	REG_VL	REG_Alarm_1	REG_Alarm_2	REG_Alarm_3	REG_HMI_D1_ERROR	REG_HMI_D2_ERROR	pusty	REG_HMI_D3_ERROR	REG_MaxDS_1	REG_MinDS_1	REG_MaxDS_2	REG_MinDS_2	REG_MaxDS_3	REG_MinDS_3	REG_IleCzujnikow	REG_Alarm_VL	REG_IleDetali	REG_VLMaxPomiar	REG_VLMinPomiar	REG_MaxAnalowgowyOdczyt	REG_MaxOdczytFiltr	REG_PrzekroczenieWartosc	REG_MaxAlarm
19:05:06	2762	2518	2312	198	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1597	64	123	0	
19:05:07	2756	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1488	173	123	0	
19:05:08	2756	2525	2312	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1856	195	124	0	
19:05:09	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1467	194	126	0	
19:05:10	2756	2518	2312	182	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	595	1066	127	0	
19:05:11	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1584	77	127	0	
19:05:12	2762	2525	2312	182	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	0	1661	128	1	
19:05:13	2762	2525	2312	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1620	41	129	0	
19:05:14	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1811	150	131	0	
19:05:15	2756	2525	2312	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1571	90	131	0	
19:05:16	2762	2525	2312	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1772	111	131	0	
19:05:17	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1521	140	131	0	
19:05:18	2762	2525	2312	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	799	862	133	0	
19:05:19	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	2672	1011	133	0	
19:05:20	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1527	134	135	0	
19:05:21	2762	2525	2312	184	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	0	1661	136	1	
19:05:22	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1531	130	137	0	
19:05:23	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1739	78	138	0	
19:05:25	2762	2525	2312	183	0	0	0	0	0	0	0	2762	2750	2525	2506	2318	2306	3	0	1	198	178	1499	162	138	0	
19:05:26	2762	2531	2312	184	0	0	0	0	0	0	0	2762	2750	2531	2506	2318	2306	3	0	1	198	178	1641	20	140	0	
19:05:27	2762	2525	2312	182	0	0	0	0	0	0	0	2762	2750	2531	2506	2318	2306	3	0	1	198	178	1521	140	140	0	
19:05:28	2762	2525	2312	182	0	0	0	0	0	0	0	2762	2750	2531	2506	2318	2306	3	0	1	198	178	1535	126	141	0	
19:05:29	2762	2531	2312	182	0	0	0	0	0	0	0	2762	2750	2531	2506	2318	2306	3	0	1	198	178	1709	48	141	0	
19:05:30	2762	2525	2312	181	0	0	0	0	0	0	0	2762	2750	2531	2506	2318	2306	3	0	1	198	178	1378	283	142	0	
19:05:31	2762	2525	2312	182	0	0	0	0	0	0	0	2762	2750	2531	2506	2318	2306	3	0	1	198	178	1565	96	144	0	
